127.0.0.1 - - [25/Aug/2020:23:01:54 -0500] "GET / HTTP/1.1" 404 706
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:02:06 -0500] "GET /rebelviz/localstorage.html HTTP/1.1" 200 5416
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:02:06 -0500] "GET /favicon.ico HTTP/1.1" 404 645
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:02:07 -0500] "GET /rebelviz/Untitled.drawio HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:02:46 -0500] "GET /rebelviz/localstorage.html HTTP/1.1" 200 5413
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:02:47 -0500] "GET /rebelviz/Untitled.xml HTTP/1.1" 200 903
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:04:48 -0500] "GET /rebelviz/localstorage.html HTTP/1.1" 200 5420
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:04:49 -0500] "GET /rebelviz/UntitledDiagram.xml HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:45:21 -0500] "GET /rebelviz/localstorage.html HTTP/1.1" 200 5506
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:49:41 -0500] "GET /rebelviz/localstorage.html HTTP/1.1" 200 5524
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:49:42 -0500] "GET /rebelviz/UntitledDiagram.xml HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:54:03 -0500] "GET /rebelviz/localstorage.html HTTP/1.1" 200 5518
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:54:04 -0500] "GET /rebelviz/Archimate.xml HTTP/1.1" 404 656
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:54:22 -0500] "GET /rebelviz/localstorage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:54:23 -0500] "GET /rebelviz/Archimate.xml HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:54:49 -0500] "GET /rebelviz/localstorage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:54:50 -0500] "GET /rebelviz/Archimate.xml HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:55:05 -0500] "GET /rebelviz/localstorage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:55:06 -0500] "GET /rebelviz/Archimate.xml HTTP/1.1" 200 2020
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:56:59 -0500] "GET /rebelviz/localstorage.html HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [25/Aug/2020:23:56:59 -0500] "GET /rebelviz/Archimate.xml HTTP/1.1" 304 -
